run_id,git_sha,window,t_prime,t,task_id,resolver_ref,entity_class,freshness_tier,ttl_days,route,query_method,t_eff,arm_answer,gold_at_t_eff,gold_at_t,definitional_check_passed
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0074,active_user_count_cc,user_status,1,1,staged_sql,templated,2024-03-29,24,24,25,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0075,active_user_count_cc,user_status,1,1,staged_sql,templated,2024-03-29,25,25,24,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0080,top_spending_cost_center,prices,2,7,staged_sql,templated,2024-03-29,cc_002,cc_002,cc_014,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0081,active_user_count_cc,user_status,1,1,staged_sql,templated,2024-03-29,34,34,32,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0089,active_user_count_cc,user_status,1,1,staged_sql,templated,2024-03-29,32,32,33,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0090,unassigned_license_count,assignments,1,1,staged_sql,templated,2024-03-29,104,104,131,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0093,spend_by_cost_center,prices,1,7,staged_sql,templated,2024-03-29,2678.22,2678.22,1252.6000000000001,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0103,active_user_count_cc,user_status,1,1,staged_sql,templated,2024-03-29,15,15,18,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0107,license_reclaim_count,assignments,2,1,staged_sql,templated,2024-03-29,104,104,131,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0109,active_user_count_cc,user_status,1,1,staged_sql,templated,2024-03-29,17,17,19,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0116,unassigned_license_count,assignments,1,1,staged_sql,templated,2024-03-29,104,104,131,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0123,license_reclaim_count,assignments,2,1,staged_sql,templated,2024-03-29,104,104,131,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0132,cost_centers_above_threshold,prices,2,7,staged_sql,templated,2024-03-29,15,15,13,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0137,product_price,prices,1,7,staged_sql,templated,2024-03-29,480.84,480.84,365.0,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0139,cost_centers_above_threshold,prices,2,7,staged_sql,templated,2024-03-29,15,15,13,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0141,top_spending_cost_center,prices,2,7,staged_sql,templated,2024-03-29,cc_002,cc_002,cc_014,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0145,cost_centers_above_threshold,prices,2,7,staged_sql,templated,2024-03-29,15,15,13,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0149,unassigned_license_count,assignments,1,1,staged_sql,templated,2024-03-29,104,104,131,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0165,unassigned_license_count,assignments,1,1,staged_sql,templated,2024-03-29,104,104,131,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0168,active_user_count_cc,user_status,1,1,staged_sql,templated,2024-03-29,20,20,21,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0169,spend_by_cost_center,prices,1,7,staged_sql,templated,2024-03-29,1199.1,1199.1,484.4,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0170,active_user_count_cc,user_status,1,1,staged_sql,templated,2024-03-29,22,22,21,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0173,cost_centers_above_threshold,prices,2,7,staged_sql,templated,2024-03-29,15,15,13,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0174,top_spending_cost_center,prices,2,7,staged_sql,templated,2024-03-29,cc_002,cc_002,cc_014,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0175,cost_centers_above_threshold,prices,2,7,staged_sql,templated,2024-03-29,15,15,13,True
D28_ablation,a71411139e361929d33ff73820e94aff30a679f4,D+28,2024-03-29,2024-04-27,task_0177,unassigned_license_count,assignments,1,1,staged_sql,templated,2024-03-29,104,104,131,True
